id,x_minimo,x_maximo,y_minimo,y_maximo,area_pixels,perimetro_x,perimetro_y,comprimento_do_transportador,tipo_do_aço_A300,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
0,154.0,169.0,260.124,260.136,75.0,27.0,17.0,1364.0,False,40.0,80.79956986765761,0.2258,0.5833,0.8,1.8751,1.1761,1.0792,-0.2,0.3068,125.0,False,False,False,False,False,False,False
1,1121.0,186.0,1789.332,1789.337,206.0,9.0,194.0,1460.6352015732546,False,50.0,79.7907206368532,0.3412,0.5143,0.7143,1.2305,0.8451,0.699,-0.2857,0.1441,115.0,False,False,False,True,False,False,False
2,41.0,216.0,2708.878,2708.939,198.38391557496362,275.0,134.0,1358.0,False,40.0,80.87197048276663,0.0604,0.41,0.3486,3.7992,1.1916465085198797,1.7853,-0.6514,1.0,42.0,False,False,True,False,False,False,False
3,129.0,157.0,86.408,86.427,276.0,39.0,26.0,1362.0,False,40.0,77.48224695837098,0.1894,0.4812,0.6786,2.4409,1.4472,1.2787,-0.3214,0.8223,115.0,False,False,True,False,False,False,False
4,436.0,442.0,4959.398,530.985,63.0,17.0,17.0,1356.0,True,70.0,73.85454987445387,0.6431,0.3823,0.3529,1.7993,0.7782,1.2305,0.6471,0.2083,90.0,False,True,False,False,False,False,False
5,11.0,186.0,590.44,590.503,206.0,198.0,119.0,1358.0,False,40.0,76.12150100991973,0.0574,0.3789,0.4013,3.7884,1.1916465085198797,1.7993,-0.5987,1.0,45.0,False,False,True,False,False,False,False
6,39.0,217.0,1359.602,1359.742,198.38391557496362,78.57811038353601,59.32477294080802,1400.0,False,40.0,62.6399200184873,0.0557,0.5876,0.7865,4.0118,1.1916465085198797,2.1461,-0.2135,1.0,25.0,False,False,True,False,False,False,False
7,43.0,200.0,696.884,696.948,206.0,206.0,129.0,1358.0,False,40.0,86.95075982704378,0.0633,0.397,0.4076,3.7824,1.1916465085198797,1.8062,-0.5924,1.0,45.0,False,False,True,False,False,False,False
8,772.0,777.0,1436.089,1436.092,11.0,229.0,3.0,1358.0,False,50.0,84.82096152960388,0.8557,0.2667,0.6,1.0414,0.699,0.4771,-0.4,0.1284,111.0,False,False,False,True,False,False,False
9,41.0,186.0,1505.915,1505.982,198.38391557496362,315.0,145.0,1356.0,False,40.0,100.11599300525712,0.0605,0.4332,0.3918,3.8125,1.1916465085198797,1.8261,-0.6082,1.0,38.0,False,False,True,False,False,False,False
